Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
Peter Ošváth,EDS,144, 
Ján Balko,SNJ,136, 
Karol Robert Thoma,ĽSSS,110, 
Jaroslav Kadubec,ĽSSS,56, 
,,, 
Obvod Senica,,, 
,,, 
Pavol Holejšovský,"HZD, ĽS-HZDS, SNS, SMER",1 555, 
Ján Michalica,"KDH, SDKÚ-DS",1 503, 
Anton Cibula,"KDH, SDKÚ-DS",1 461, 
Miriam Horváthová,"HZD, ĽS-HZDS, SNS, SMER",1 459, 
Ivan Haba,"HZD, ĽS-HZDS, SNS, SMER",1 443, 
Martin Čulen,SZS,1 431, 
Roman Šedivý,NEKA,1 399, 
Daniel Kruppa,"KDH, SDKÚ-DS",1 048, 
Ľubica Melegová,"HZD, ĽS-HZDS, SNS, SMER",993, 
Ferdinand Bartal,ND,840, 
Ľubica Krištofová,SZS,746, 
Antónia Mikulíková,SaS,691, 
Radoslav Mareček,SaS,598, 
Magdaléna Hessková,SZS,587, 
Róbert Kudláč,SaS,580, 
Rudolf Šedivý,SaS,539, 
Pavel Jankovič,ND,505, 
Vladimír Sládek,KSS,472, 
Anna Višváderová,ZRS,371, 
Ján Dananai,SaS,329, 
Miroslav Polakovič,NEKA,324, 
Peter Adamkovič,EDS,293, 
Ondrej Navrátil,NEKA,280, 
Ladislav Kollár,MOST-HÍD,224, 
Ivan Duban,SMK-MKP,64, 
,,, 
Obvod Skalica,,, 
,,, 
Milan Roman,"KDH, SDKÚ-DS",2 389, 
Miroslav Jureňa,"HZD, ĽS-HZDS, SNS, SMER",2 386, 
Anton Bobrík,"HZD, ĽS-HZDS, SNS, SMER",1 937, 
Ivan Uhliarik,"KDH, SDKÚ-DS",1 922, 
Peter Pobuda,NEKA,1 516, 
Andrea Španírová,NEKA,1 260, 
Miroslav Mihál,NEKA,1 166, 
Vladimír Horák,NEKA,516, 
Marian Majer,SaS,383, 
Soňa Zdražilová,KSS,278, 
Jarmila Kollárová,SZS,272, 
Drahomír Nosek,ZRS,191, 
,,, 
Obvod Trnava,,, 
,,, 
Augustín Pullmann,"KDH, SDKÚ-DS",4 216, 
Branislav Jáger,"KDH, SDKÚ-DS",4 192, 
Anton Pobjecký,"HZD, ĽS-HZDS, SNS, SMER",4 157, 
